game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,no_resolution,no_resolution,2,3,1,True,1,6,4,5,16,5,2,814.942
2,1002,daisy,complete,no_resolution,no_resolution,3,3,0,True,1,11,3,5,37,12,1,1751.682
3,1003,skids,complete,no_resolution,no_resolution,0,0,1,True,0,4,4,7,14,3,0,572.982
4,1004,agnes,complete,R3,R3,0,0,0,True,2,14,3,7,38,14,7,2779.924
5,1005,wendy,complete,no_resolution,no_resolution,5,5,0,True,3,12,0,2,42,12,1,1585.714
6,1006,roland,complete,no_resolution,no_resolution,4,5,1,True,3,12,9,3,36,15,7,1411.456
7,1007,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,8,6,8,31,7,0,2833.451
8,1008,skids,complete,no_resolution,no_resolution,4,4,0,True,2,9,3,3,29,8,0,1835.014
9,1009,agnes,complete,no_resolution,no_resolution,5,5,0,True,3,10,4,7,29,11,4,1265.565
10,1010,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,10,3,3,34,10,1,1349.064
11,1011,roland,complete,no_resolution,no_resolution,4,4,0,True,2,12,3,4,36,12,3,2080.985
12,1012,daisy,complete,no_resolution,no_resolution,3,3,0,True,1,9,1,2,31,8,1,1182.968
13,1013,skids,complete,no_resolution,no_resolution,2,3,1,True,1,16,6,6,49,16,4,2664.819
14,1014,agnes,complete,no_resolution,no_resolution,3,4,1,True,2,15,1,8,40,16,5,1201.708
15,1015,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,9,3,4,35,9,1,857.671
16,1016,roland,complete,R1,R1,5,6,1,True,4,13,0,1,37,13,8,1198.155
