game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,R2,R2,9,9,0,False,6,14,7,4,42,14,7,0.0
2,1002,daisy,complete,no_resolution,no_resolution,4,4,0,True,2,12,4,6,42,12,1,0.0
3,1003,skids,complete,no_resolution,no_resolution,4,5,1,True,3,13,8,4,39,13,3,0.0
4,1004,agnes,complete,R3,R3,0,0,0,False,3,15,0,6,42,15,6,0.0
5,1005,wendy,complete,no_resolution,no_resolution,1,3,2,True,1,13,8,7,39,13,1,882.188
6,1006,roland,complete,no_resolution,no_resolution,3,4,1,True,2,14,2,2,39,13,3,607.545
7,1007,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,11,5,8,31,11,0,593.149
8,1008,skids,incomplete,incomplete,incomplete,0,0,0,False,0,0,0,0,0,0,0,4.7
9,1009,agnes,incomplete,incomplete,incomplete,0,0,0,False,0,0,0,0,0,0,0,4.354
10,1010,wendy,incomplete,incomplete,incomplete,0,0,0,False,0,0,0,0,0,0,0,6.311
